,country,description,designation,points,price,province,region_1,title,variety,winery,millesime,Alsace,Beaujolais,Burgundy,Champagne,France Other,Languedoc-Roussillon,Loire Valley,Southwest France
57,France,"From the warm 2019 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",,86,18.0,Burgundy,Chablis,Simonnet-Febvre 2021  Chablis,Chardonnay,Simonnet-Febvre,2021,0,0,1,0,0,0,0,0
58,France,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",,86,15.0,Burgundy,Mâcon-Milly Lamartine,Vignerons des Terres Secrètes 2021  Mâcon-Milly Lamartine,Chardonnay,Vignerons des Terres Secrètes,2021,0,0,1,0,0,0,0,0
166,France,"The impact of 50-year old vines is seen in the concentrated fruit, ripe and full,  in this wine. The flavors are of fresh apricots, edged with green apples and pink grapefruit, a combination that shows both richness and great freshness. The finish is a reminder of the fine acidity in 2010.",Les Vénérables Vieilles Vignes,88,37.0,Burgundy,Chablis,La Chablisienne 2012 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,La Chablisienne,2012,0,0,1,0,0,0,0,0
179,France,"A citrus-dominated wine, lime and lemon giving a crisp intensity. There is a somewhat bitter toast element, but the acidity, the fresh fruits and the soft structure act as a counter-balance. Give it six months to a year. Screwcap.",,87,43.0,Burgundy,St.-Romain,Bertrand Ambroise 2012  St.-Romain,Chardonnay,Bertrand Ambroise,2012,0,0,1,0,0,0,0,0
314,France,"This beautiful, rich wine has yellow fruits and is concentrated, tightly textured and conveys a ripe character. The touches of wood are just right, adding spice to the opulent fruitiness. A mineral texture gives some tightness to the aftertaste. Drink from 2024.",Le Montrachet,96,263.0,Burgundy,Montrachet,Louis Latour 2020 Le Montrachet  (Montrachet),Chardonnay,Louis Latour,2020,0,0,1,0,0,0,0,0
320,France,"Up the slope above the Grand Cru of Le Montrachet, this vineyard once grew hemp (hence the name, cheneve). This poised wine is both stylish and rich, with good acidity allied to ripe apple and citrus fruits, cut through the mineral texture and promise a generous wine as it ages. Drink from 2024.",Les Chenevottes Premier Cru,95,67.0,Burgundy,Chassagne-Montrachet,Philippe Colin 2020 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Chardonnay,Philippe Colin,2020,0,0,1,0,0,0,0,0
324,France,"This is an opulent wine from one of the fabled series of white Grand Crus. Along with generous yellow fruits and ripe citrus, it has weight and gravitas. Spice from the wood fills things out even more, giving the wine its balance, its intensity and its future. Drink from 2022.",,95,168.0,Burgundy,Criots-Bâtard-Montrachet,Louis Latour 2020  Criots-Bâtard-Montrachet,Chardonnay,Louis Latour,2020,0,0,1,0,0,0,0,0
406,France,"This big, ripe and fruity wine shows both the richness and the structure of the vintage, but never loses sight of balance. It's full of rich yellow fruits, green plums and citrus, but structured with refreshing acidity, a minerally texture and gentle hints of wood aging. Drink from 2019.",Blagny Premier Cru,92,62.0,Burgundy,Meursault,Henri de Villamont 2016 Blagny Premier Cru  (Meursault),Chardonnay,Henri de Villamont,2016,0,0,1,0,0,0,0,0
651,France,"This soft wine has a gentle texture and smooth white fruits. It is fruity and lightly perfumed. With its crisp edge of acidity, is totally ready to drink.",Grande Réserve du Président,85,13.0,Burgundy,Mâcon-Villages,Cave de Viré 2021 Grande Réserve du Président  (Mâcon-Villages),Chardonnay,Cave de Viré,2021,0,0,1,0,0,0,0,0
663,France,"Here is a simple but tasty Chard, offering attractive notes of pear, spiced orange and toasted apple skin on the nose and mouth. It's light weight and well balanced, with ample acidity and a short but clean finish. Enjoy now.",Bin 068,85,12.0,France Other,Vin de France,Kiwi Cuvée 2020 Bin 068 Chardonnay (Vin de France),Chardonnay,Kiwi Cuvée,2020,0,0,0,0,1,0,0,0
